a,b,c,L (mm),b (mm),h (mm)
19938,-1.448,221.955,37.75,2.94,12.74
20145,-1.473,223.232,37.75,2.94,12.74
20353,-1.473,224.815,37.75,2.94,12.74
20560,-1.499,226.55,37.75,2.94,12.74
20767,-1.499,227.978,37.75,2.94,12.74
20975,-1.524,229.748,37.75,2.94,12.74
21182,-1.549,231.358,37.75,2.94,12.74
21390,-1.549,232.479,37.75,2.94,12.74
21597,-1.575,233.903,37.75,2.94,12.74
21805,-1.575,236.015,37.75,2.94,12.74
22012,-1.6,237.23,37.75,2.94,12.74
22220,-1.626,238.555,37.75,2.94,12.74
22427,-1.626,240.317,37.75,2.94,12.74
22635,-1.651,241.197,37.75,2.94,12.74
22842,-1.676,242.856,37.75,2.94,12.74
23050,-1.676,244.729,37.75,2.94,12.74
23257,-1.702,245.387,37.75,2.94,12.74
23465,-1.702,247.402,37.75,2.94,12.74
23672,-1.727,249.239,37.75,2.94,12.74
23880,-1.753,249.568,37.75,2.94,12.74
24087,-1.753,251.57,37.75,2.94,12.74
24294,-1.778,253.385,37.75,2.94,12.74
24502,-1.803,253.941,37.75,2.94,12.74
24709,-1.803,255.827,37.75,2.94,12.74
24917,-1.829,257.108,37.75,2.94,12.74
25124,-1.829,257.922,37.75,2.94,12.74
25332,-1.854,259.648,37.75,2.94,12.74
25539,-1.88,260.969,37.75,2.94,12.74
25747,-1.88,262.076,37.75,2.94,12.74
25954,-1.905,263.642,37.75,2.94,12.74
26162,-1.93,265.239,37.75,2.94,12.74
26369,-1.93,265.995,37.75,2.94,12.74
26577,-1.956,267.374,37.75,2.94,12.74
26784,-1.981,269.068,37.75,2.94,12.74
26992,-1.981,269.909,37.75,2.94,12.74
27199,-2.007,271.31,37.75,2.94,12.74
27407,-2.007,273.032,37.75,2.94,12.74
27614,-2.032,273.548,37.75,2.94,12.74
27822,-2.057,275.033,37.75,2.94,12.74
28029,-2.057,276.763,37.75,2.94,12.74
28237,-2.083,277.48,37.75,2.94,12.74
28444,-2.108,278.796,37.75,2.94,12.74
28651,-2.108,280.562,37.75,2.94,12.74
28859,-2.134,280.651,37.75,2.94,12.74
29066,-2.159,282.359,37.75,2.94,12.74
29274,-2.159,284.272,37.75,2.94,12.74
29482,-2.184,284.16,37.75,2.94,12.74
29690,-2.184,286.126,37.75,2.94,12.74
29897,-2.21,287.568,37.75,2.94,12.74
30105,-2.235,287.714,37.75,2.94,12.74
30312,-2.235,289.44,37.75,2.94,12.74
30520,-2.261,291.406,37.75,2.94,12.74
30727,-2.286,291.219,37.75,2.94,12.74
30935,-2.286,293.154,37.75,2.94,12.74
31142,-2.311,293.764,37.75,2.94,12.74
31349,-2.337,294.653,37.75,2.94,12.74
31557,-2.337,296.29,37.75,2.94,12.74
31765,-2.362,296.877,37.75,2.94,12.74
31972,-2.362,298.198,37.75,2.94,12.74
32180,-2.388,299.8,37.75,2.94,12.74
32387,-2.413,300.28,37.75,2.94,12.74
32594,-2.413,301.241,37.75,2.94,12.74
32802,-2.438,302.891,37.75,2.94,12.74
33009,-2.464,303.403,37.75,2.94,12.74
33217,-2.464,304.652,37.75,2.94,12.74
33424,-2.489,305.942,37.75,2.94,12.74
33632,-2.515,306.872,37.75,2.94,12.74
33839,-2.515,307.722,37.75,2.94,12.74
34047,-2.54,308.994,37.75,2.94,12.74
34254,-2.54,310.012,37.75,2.94,12.74
34461,-2.565,310.639,37.75,2.94,12.74
34669,-2.591,312.196,37.75,2.94,12.74
34876,-2.591,312.975,37.75,2.94,12.74
35084,-2.616,313.588,37.75,2.94,12.74
35291,-2.642,315.256,37.75,2.94,12.74
35499,-2.642,316.182,37.75,2.94,12.74
35706,-2.667,316.666,37.75,2.94,12.74
35914,-2.692,318.388,37.75,2.94,12.74
36121,-2.692,319.104,37.75,2.94,12.74
36329,-2.718,319.451,37.75,2.94,12.74
36536,-2.743,321.203,37.75,2.94,12.74
36744,-2.743,321.715,37.75,2.94,12.74
36951,-2.769,322.453,37.75,2.94,12.74
37158,-2.794,324.112,37.75,2.94,12.74
37350,-2.794,324.846,37.75,2.94,12.74
37558,-2.819,325.465,37.75,2.94,12.74
37750,-2.819,327.057,37.75,2.94,12.74
37957,-2.845,327.395,37.75,2.94,12.74
38149,-2.87,328.249,37.75,2.94,12.74
38340,-2.87,328.961,37.75,2.94,12.74
38532,-2.896,330.042,37.75,2.94,12.74
38739,-2.921,331.114,37.75,2.94,12.74
38931,-2.921,331.492,37.75,2.94,12.74
39123,-2.946,332.506,37.75,2.94,12.74
39330,-2.946,333.502,37.75,2.94,12.74
39522,-2.972,334,37.75,2.94,12.74
39714,-2.997,335.406,37.75,2.94,12.74
39921,-2.997,334.997,37.75,2.94,12.74
40129,-2.997,331.914,37.75,2.94,12.74
40336,-2.997,329.557,37.75,2.94,12.74
40544,-2.997,327.493,37.75,2.94,12.74
40752,-2.997,325.723,37.75,2.94,12.74
40959,-2.997,324.041,37.75,2.94,12.74
41167,-2.997,322.56,37.75,2.94,12.74
41375,-2.997,321.266,37.75,2.94,12.74
41582,-2.997,320.025,37.75,2.94,12.74
41790,-2.997,318.784,37.75,2.94,12.74
41998,-2.997,317.672,37.75,2.94,12.74
42205,-2.997,316.64,37.75,2.94,12.74
42413,-2.997,315.643,37.75,2.94,12.74
42620,-2.997,314.558,37.75,2.94,12.74
42828,-2.997,313.686,37.75,2.94,12.74
43035,-2.997,312.743,37.75,2.94,12.74
43243,-2.997,311.952,37.75,2.94,12.74
43450,-2.997,311.155,37.75,2.94,12.74
43658,-2.997,310.266,37.75,2.94,12.74
43865,-2.997,309.572,37.75,2.94,12.74
44073,-2.997,308.785,37.75,2.94,12.74
44280,-2.997,308.033,37.75,2.94,12.74
44488,-2.997,307.361,37.75,2.94,12.74
44695,-2.997,306.632,37.75,2.94,12.74
44903,-2.997,306.071,37.75,2.94,12.74
45110,-2.997,305.324,37.75,2.94,12.74
45318,-2.997,304.652,37.75,2.94,12.74
45526,-2.997,304.172,37.75,2.94,12.74
45733,-2.997,303.456,37.75,2.94,12.74
45940,-2.997,302.806,37.75,2.94,12.74
46148,-2.997,302.273,37.75,2.94,12.74
46356,-2.997,301.775,37.75,2.94,12.74
46563,-2.997,301.143,37.75,2.94,12.74
46771,-2.997,300.636,37.75,2.94,12.74
46979,-2.997,300.08,37.75,2.94,12.74
47187,-2.997,299.515,37.75,2.94,12.74
47394,-2.997,299.008,37.75,2.94,12.74
47602,-2.997,298.541,37.75,2.94,12.74
47809,-2.997,298.109,37.75,2.94,12.74
48017,-2.997,297.571,37.75,2.94,12.74
48224,-2.997,297.1,37.75,2.94,12.74
48432,-2.997,296.606,37.75,2.94,12.74
48639,-2.997,296.179,37.75,2.94,12.74
48847,-2.997,295.721,37.75,2.94,12.74
49054,-2.997,295.218,37.75,2.94,12.74
49262,-2.997,294.827,37.75,2.94,12.74
49469,-2.997,294.395,37.75,2.94,12.74
49677,-2.997,293.906,37.75,2.94,12.74
49884,-2.997,293.55,37.75,2.94,12.74
50092,-2.997,293.141,37.75,2.94,12.74
50299,-2.997,292.781,37.75,2.94,12.74
50507,-2.997,292.34,37.75,2.94,12.74
